"filename", "language", "HTML", "Markdown", "Less", "JavaScript", "CSS", "JSON", "XML", "Python", "comment", "blank", "total"
"d:\repo\FlowPhotoscan\src\js\container\panels\ricePanel.js", "JavaScript", 0, 0, 0, 66, 0, 0, 0, 0, 1, 9, 76
"d:\repo\FlowPhotoscan\src\js\container\panels\side-panel.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 1, 6, 36
"d:\repo\FlowPhotoscan\src\js\container\panels\spectral.js", "JavaScript", 0, 0, 0, 88, 0, 0, 0, 0, 9, 20, 117
"d:\repo\FlowPhotoscan\src\js\icheck.min.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 1, 1, 12
"d:\repo\FlowPhotoscan\src\js\leaflet\leaflet.css", "CSS", 0, 0, 0, 0, 556, 0, 0, 0, 22, 54, 632
"d:\repo\FlowPhotoscan\src\js\leaflet\leaflet.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 1, 0, 6
"d:\repo\FlowPhotoscan\src\js\main.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 25, 6, 96
"d:\repo\FlowPhotoscan\src\js\plugins.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 8, 4, 32
"d:\repo\FlowPhotoscan\src\js\sign.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 171, 2, 187
"d:\repo\FlowPhotoscan\src\js\swiper.min.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 15, 1, 20
"d:\repo\FlowPhotoscan\src\js\vendor\bootstrap-treeview.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repo\FlowPhotoscan\src\js\vendor\jquery-1.9.1.min.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 4
"d:\repo\FlowPhotoscan\src\js\vendor\jquery-3.1.1.min.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"d:\repo\FlowPhotoscan\src\js\vendor\modernizr-2.8.3.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 5
"d:\repo\FlowPhotoscan\src\less\__main.less", "Less", 0, 0, 40, 0, 0, 0, 0, 0, 15, 8, 63
"d:\repo\FlowPhotoscan\src\less\__variables.less", "Less", 0, 0, 387, 0, 0, 0, 0, 0, 279, 205, 871
"d:\repo\FlowPhotoscan\src\less\_carousel.less", "Less", 0, 0, 210, 0, 0, 0, 0, 0, 42, 31, 283
"d:\repo\FlowPhotoscan\src\less\_footer.less", "Less", 0, 0, 56, 0, 0, 0, 0, 0, 3, 4, 63
"d:\repo\FlowPhotoscan\src\less\bootstrap\.csscomb.json", "JSON", 0, 0, 0, 0, 0, 304, 0, 0, 0, 1, 305
"d:\repo\FlowPhotoscan\src\less\bootstrap\alerts.less", "Less", 0, 0, 42, 0, 0, 0, 0, 0, 16, 16, 74
"d:\repo\FlowPhotoscan\src\less\bootstrap\badges.less", "Less", 0, 0, 48, 0, 0, 0, 0, 0, 8, 11, 67
"d:\repo\FlowPhotoscan\src\less\bootstrap\bootstrap.less", "Less", 0, 0, 39, 0, 0, 0, 0, 0, 11, 7, 57
"d:\repo\FlowPhotoscan\src\less\bootstrap\breadcrumbs.less", "Less", 0, 0, 18, 0, 0, 0, 0, 0, 3, 6, 27
"d:\repo\FlowPhotoscan\src\less\bootstrap\button-groups.less", "Less", 0, 0, 174, 0, 0, 0, 0, 0, 39, 32, 245
"d:\repo\FlowPhotoscan\src\less\bootstrap\buttons.less", "Less", 0, 0, 121, 0, 0, 0, 0, 0, 22, 24, 167
"d:\repo\FlowPhotoscan\src\less\bootstrap\carousel.less", "Less", 0, 0, 207, 0, 0, 0, 0, 0, 33, 31, 271
"d:\repo\FlowPhotoscan\src\less\bootstrap\close.less", "Less", 0, 0, 23, 0, 0, 0, 0, 0, 7, 5, 35
"d:\repo\FlowPhotoscan\src\less\bootstrap\code.less", "Less", 0, 0, 52, 0, 0, 0, 0, 0, 9, 9, 70
"d:\repo\FlowPhotoscan\src\less\bootstrap\component-animations.less", "Less", 0, 0, 21, 0, 0, 0, 0, 0, 7, 6, 34
"d:\repo\FlowPhotoscan\src\less\bootstrap\dropdowns.less", "Less", 0, 0, 147, 0, 0, 0, 0, 0, 45, 25, 217
"d:\repo\FlowPhotoscan\src\less\bootstrap\forms.less", "Less", 0, 0, 392, 0, 0, 0, 0, 0, 141, 81, 614
"d:\repo\FlowPhotoscan\src\less\bootstrap\glyphicons.less", "Less", 0, 0, 283, 0, 0, 0, 0, 0, 19, 4, 306
"d:\repo\FlowPhotoscan\src\less\bootstrap\grid.less", "Less", 0, 0, 29, 0, 0, 0, 0, 0, 30, 26, 85
"d:\repo\FlowPhotoscan\src\less\bootstrap\input-groups.less", "Less", 0, 0, 122, 0, 0, 0, 0, 0, 31, 19, 172
"d:\repo\FlowPhotoscan\src\less\bootstrap\jumbotron.less", "Less", 0, 0, 41, 0, 0, 0, 0, 0, 3, 11, 55
"d:\repo\FlowPhotoscan\src\less\bootstrap\labels.less", "Less", 0, 0, 45, 0, 0, 0, 0, 0, 8, 12, 65
"d:\repo\FlowPhotoscan\src\less\bootstrap\list-group.less", "Less", 0, 0, 79, 0, 0, 0, 0, 0, 28, 24, 131
"d:\repo\FlowPhotoscan\src\less\bootstrap\media.less", "Less", 0, 0, 48, 0, 0, 0, 0, 0, 6, 13, 67
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins.less", "Less", 0, 0, 30, 0, 0, 0, 0, 0, 6, 5, 41
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\alerts.less", "Less", 0, 0, 11, 0, 0, 0, 0, 0, 1, 3, 15
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\background-variant.less", "Less", 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\border-radius.less", "Less", 0, 0, 16, 0, 0, 0, 0, 0, 1, 2, 19
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\buttons.less", "Less", 0, 0, 55, 0, 0, 0, 0, 0, 5, 6, 66
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\center-block.less", "Less", 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\clearfix.less", "Less", 0, 0, 10, 0, 0, 0, 0, 0, 11, 2, 23
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\forms.less", "Less", 0, 0, 54, 0, 0, 0, 0, 0, 25, 7, 86
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\gradients.less", "Less", 0, 0, 46, 0, 0, 0, 0, 0, 9, 5, 60
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\grid-framework.less", "Less", 0, 0, 76, 0, 0, 0, 0, 0, 10, 6, 92
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\grid.less", "Less", 0, 0, 104, 0, 0, 0, 0, 0, 9, 10, 123
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\hide-text.less", "Less", 0, 0, 10, 0, 0, 0, 0, 0, 9, 3, 22
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\image.less", "Less", 0, 0, 18, 0, 0, 0, 0, 0, 10, 6, 34
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\labels.less", "Less", 0, 0, 9, 0, 0, 0, 0, 0, 1, 3, 13
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\list-group.less", "Less", 0, 0, 25, 0, 0, 0, 0, 0, 1, 5, 31
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\nav-divider.less", "Less", 0, 0, 6, 0, 0, 0, 0, 0, 3, 2, 11
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\nav-vertical-align.less", "Less", 0, 0, 4, 0, 0, 0, 0, 0, 4, 2, 10
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\opacity.less", "Less", 0, 0, 5, 0, 0, 0, 0, 0, 2, 2, 9
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\pagination.less", "Less", 0, 0, 22, 0, 0, 0, 0, 0, 1, 2, 25
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\panels.less", "Less", 0, 0, 20, 0, 0, 0, 0, 0, 1, 4, 25
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\progress-bar.less", "Less", 0, 0, 6, 0, 0, 0, 0, 0, 2, 3, 11
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\reset-filter.less", "Less", 0, 0, 3, 0, 0, 0, 0, 0, 4, 2, 9
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\reset-text.less", "Less", 0, 0, 17, 0, 0, 0, 0, 0, 1, 1, 19
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\resize.less", "Less", 0, 0, 4, 0, 0, 0, 0, 0, 1, 2, 7
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\responsive-visibility.less", "Less", 0, 0, 10, 0, 0, 0, 0, 0, 3, 3, 16
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\size.less", "Less", 0, 0, 7, 0, 0, 0, 0, 0, 1, 3, 11
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\tab-focus.less", "Less", 0, 0, 4, 0, 0, 0, 0, 0, 4, 2, 10
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\table-row.less", "Less", 0, 0, 21, 0, 0, 0, 0, 0, 5, 3, 29
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\text-emphasis.less", "Less", 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\text-overflow.less", "Less", 0, 0, 5, 0, 0, 0, 0, 0, 2, 2, 9
"d:\repo\FlowPhotoscan\src\less\bootstrap\mixins\vendor-prefixes.less", "Less", 0, 0, 178, 0, 0, 0, 0, 0, 31, 19, 228
"d:\repo\FlowPhotoscan\src\less\bootstrap\modals.less", "Less", 0, 0, 102, 0, 0, 0, 0, 0, 31, 18, 151
"d:\repo\FlowPhotoscan\src\less\bootstrap\navbar.less", "Less", 0, 0, 478, 0, 0, 0, 0, 0, 84, 99, 661
"d:\repo\FlowPhotoscan\src\less\bootstrap\navs.less", "Less", 0, 0, 161, 0, 0, 0, 0, 0, 43, 39, 243
"d:\repo\FlowPhotoscan\src\less\bootstrap\normalize.less", "Less", 0, 0, 177, 0, 0, 0, 0, 0, 162, 86, 425
"d:\repo\FlowPhotoscan\src\less\bootstrap\pager.less", "Less", 0, 0, 45, 0, 0, 0, 0, 0, 3, 7, 55
"d:\repo\FlowPhotoscan\src\less\bootstrap\pagination.less", "Less", 0, 0, 75, 0, 0, 0, 0, 0, 7, 8, 90
"d:\repo\FlowPhotoscan\src\less\bootstrap\panels.less", "Less", 0, 0, 213, 0, 0, 0, 0, 0, 27, 32, 272
"d:\repo\FlowPhotoscan\src\less\bootstrap\popovers.less", "Less", 0, 0, 112, 0, 0, 0, 0, 0, 9, 11, 132
"d:\repo\FlowPhotoscan\src\less\bootstrap\print.less", "Less", 0, 0, 74, 0, 0, 0, 0, 0, 10, 18, 102
"d:\repo\FlowPhotoscan\src\less\bootstrap\progress-bars.less", "Less", 0, 0, 49, 0, 0, 0, 0, 0, 22, 17, 88
"d:\repo\FlowPhotoscan\src\less\bootstrap\responsive-embed.less", "Less", 0, 0, 26, 0, 0, 0, 0, 0, 5, 5, 36
"d:\repo\FlowPhotoscan\src\less\bootstrap\responsive-utilities.less", "Less", 0, 0, 152, 0, 0, 0, 0, 0, 23, 20, 195
"d:\repo\FlowPhotoscan\src\less\bootstrap\scaffolding.less", "Less", 0, 0, 92, 0, 0, 0, 0, 0, 35, 35, 162
"d:\repo\FlowPhotoscan\src\less\bootstrap\tables.less", "Less", 0, 0, 161, 0, 0, 0, 0, 0, 39, 35, 235
"d:\repo\FlowPhotoscan\src\less\bootstrap\theme.less", "Less", 0, 0, 184, 0, 0, 0, 0, 0, 56, 52, 292
"d:\repo\FlowPhotoscan\src\less\bootstrap\thumbnails.less", "Less", 0, 0, 25, 0, 0, 0, 0, 0, 6, 6, 37
"d:\repo\FlowPhotoscan\src\less\bootstrap\tooltip.less", "Less", 0, 0, 86, 0, 0, 0, 0, 0, 9, 7, 102
"d:\repo\FlowPhotoscan\src\less\bootstrap\type.less", "Less", 0, 0, 214, 0, 0, 0, 0, 0, 43, 46, 303
"d:\repo\FlowPhotoscan\src\less\bootstrap\utilities.less", "Less", 0, 0, 30, 0, 0, 0, 0, 0, 13, 13, 56
"d:\repo\FlowPhotoscan\src\less\bootstrap\variables.less", "Less", 0, 0, 387, 0, 0, 0, 0, 0, 278, 205, 870
"d:\repo\FlowPhotoscan\src\less\bootstrap\wells.less", "Less", 0, 0, 21, 0, 0, 0, 0, 0, 5, 4, 30
"d:\repo\FlowPhotoscan\src\less\font-awesome\animated.less", "Less", 0, 0, 28, 0, 0, 0, 0, 0, 2, 5, 35
"d:\repo\FlowPhotoscan\src\less\font-awesome\bordered-pulled.less", "Less", 0, 0, 17, 0, 0, 0, 0, 0, 3, 6, 26
"d:\repo\FlowPhotoscan\src\less\font-awesome\core.less", "Less", 0, 0, 8, 0, 0, 0, 0, 0, 2, 3, 13
"d:\repo\FlowPhotoscan\src\less\font-awesome\fixed-width.less", "Less", 0, 0, 4, 0, 0, 0, 0, 0, 2, 1, 7
"d:\repo\FlowPhotoscan\src\less\font-awesome\font-awesome.less", "Less", 0, 0, 13, 0, 0, 0, 0, 0, 4, 2, 19
"d:\repo\FlowPhotoscan\src\less\font-awesome\icons.less", "Less", 0, 0, 786, 0, 0, 0, 0, 0, 2, 2, 790
"d:\repo\FlowPhotoscan\src\less\font-awesome\larger.less", "Less", 0, 0, 9, 0, 0, 0, 0, 0, 3, 2, 14
"d:\repo\FlowPhotoscan\src\less\font-awesome\list.less", "Less", 0, 0, 16, 0, 0, 0, 0, 0, 2, 2, 20
"d:\repo\FlowPhotoscan\src\less\font-awesome\mixins.less", "Less", 0, 0, 41, 0, 0, 0, 0, 0, 10, 10, 61
"d:\repo\FlowPhotoscan\src\less\font-awesome\path.less", "Less", 0, 0, 11, 0, 0, 0, 0, 0, 3, 2, 16
"d:\repo\FlowPhotoscan\src\less\font-awesome\rotated-flipped.less", "Less", 0, 0, 12, 0, 0, 0, 0, 0, 4, 5, 21
"d:\repo\FlowPhotoscan\src\less\font-awesome\screen-reader.less", "Less", 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 6
"d:\repo\FlowPhotoscan\src\less\font-awesome\stacked.less", "Less", 0, 0, 17, 0, 0, 0, 0, 0, 2, 2, 21
"d:\repo\FlowPhotoscan\src\less\font-awesome\variables.less", "Less", 0, 0, 794, 0, 0, 0, 0, 0, 3, 4, 801
"d:\repo\FlowPhotoscan\src\project.html", "HTML", 189, 0, 0, 0, 0, 0, 0, 0, 7, 14, 210
"d:\repo\FlowPhotoscan\src\sign.html", "HTML", 108, 0, 0, 0, 0, 0, 0, 0, 4, 8, 120
"Total", "-", 2673, 52, 8041, 8720, 2166, 304, 2970, 91, 3236, 4158, 32411
